Τελευταία Ενημέρωση;Τρίτη, 22 Ιουλίου 2014 16:05;;;;;;
Κωδικός;Περιγραφή;Τιμή;Last Import;Barcode;Κατηγορία;Συν. Διαθέσιμο Απόθεμα;Συνολικό Απόθεμα
1000595;TROUSERS 1000595 BLACK XL SLIMFIT BASIC;15,99;24/06/2014;5205103045193;ΡΟΥΧΑ ALCOTT;0;0
1000596;JEANS 1000596 BLUE NAVY XS BASIC 5POCK D;22,99;24/06/2014;5205103045209;ΡΟΥΧΑ ALCOTT;0;0
1000597;JEANS 1000597 BLUE NAVY S BASIC 5POCK DE;22,99;24/06/2014;5205103045216;ΡΟΥΧΑ ALCOTT;0;0
1000598;JEANS 1000598 BLUE NAVY M BASIC 5POCK DE;22,99;24/06/2014;5205103045223;ΡΟΥΧΑ ALCOTT;0;0
1000599;JEANS 1000599 BLUE NAVY L BASIC 5POCK DE;22,99;24/06/2014;5205103045230;ΡΟΥΧΑ ALCOTT;0;0
1000600;JEANS 1000600 BLUE NAVY XL BASIC 5TK DEN;22,99;24/06/2014;5205103045247;ΡΟΥΧΑ ALCOTT;0;0
101088;ΤΣΑΝΤΑ 46+13Χ60 ΚΩΔ.060010;0,73;18/07/2012;101088;ΕΙΔΗ ΣΥΣΚΕΥΑΣΙΑΣ;478;478
101092;ΤΣΑΝΤΑ DESC ΚΩΔ.535050;0,15;02/01/2009;101092;ΕΙΔΗ ΣΥΣΚΕΥΑΣΙΑΣ;4150;4150
101093;ΤΣΑΝΤΑ DESC ΚΩΔ.547060;0,24;20/12/2008;101093;ΕΙΔΗ ΣΥΣΚΕΥΑΣΙΑΣ;22481;22481
104057;ΣΚΙΑ ΜΟΝΗ 104057 AMETHYST;5,95;03/01/2009;5205103009621;ΚΑΛΛΥΝΤΙΚΑ;89;89
104058;ΣΚΙΑ ΜΟΝΗ 104058 SECRET GARDEN;5,95;08/10/2013;5205103009638;ΚΑΛΛΥΝΤΙΚΑ;3;3
104059;ΣΚΙΑ ΜΟΝΗ 104059 BLUE LAGOON;5,95;;5205103009645;ΚΑΛΛΥΝΤΙΚΑ;-1;0
104061;ΣΚΙΑ ΜΟΝΗ 104061 CHAMPAGNE;5,95;02/12/2013;5205103009669;ΚΑΛΛΥΝΤΙΚΑ;1;1
